depth,sv
0.51,1470.848
1.04,1470.8329999999999
1.57,1470.805
2.08,1470.826
2.6,1470.825
3.1,1470.8329999999999
3.63,1470.8529999999998
4.14,1470.852
4.65,1470.8270000000002
5.15,1470.8470000000002
5.67,1470.876
6.21,1470.868
6.74,1470.866
7.26,1470.878
7.77,1470.9
8.3,1470.89
8.81,1470.92
9.33,1470.912
9.86,1470.91
10.36,1470.851
10.87,1470.8029999999999
11.38,1470.817
11.88,1470.7079999999999
12.41,1470.455
12.93,1469.9460000000001
13.43,1469.372
13.96,1468.3829999999998
14.47,1467.675
14.98,1464.2179999999998
15.47,1459.0810000000001
15.97,1453.8010000000002
16.51,1449.266
17.01,1445.3139999999999
17.52,1442.851
18.02,1440.715
18.53,1439.067
19.02,1438.067
19.52,1437.635
20.03,1436.965
20.54,1436.767
21.06,1436.483
21.56,1436.175
22.08,1435.967
22.57,1435.8
23.07,1435.636
23.58,1435.5379999999998
24.1,1435.412
24.59,1435.286
25.1,1435.1870000000001
25.61,1434.97
26.11,1434.944
26.63,1434.882
27.14,1434.775
27.64,1434.6989999999998
28.15,1434.6370000000002
28.65,1434.59
29.16,1434.467
29.66,1434.443
30.19,1434.4089999999999
30.71,1434.396
31.22,1434.371
31.72,1434.4089999999999
32.0,1434.409
34.0,1434.409
36.0,1434.409
38.0,1434.409
40.0,1434.409
50.0,1434.409
